branches	median	lower	upper
Djun&HantHconHeleHhewHleuHsapHsar	196.7686	104.99195	359.0183
Djun&Haoe	9.87395	7.26705	22.502
Haoe&Hhec	8.5246	6.43855	372282.2742
Hdor&Hheb	8.7978	6.5532	11662.62315
Haoe&Hdor	54.3785	11.9123	8726.9412
HantHconHeleHhewHleuHsapHsar&Hric	30.6478	9.9153	595.998
Haoe&Hric	8.4068	6.06305	3397.19895
HdemHert&Hric	9.7812	8.08425	131865.4596
HantHconHeleHhewHsap&Hric	443.2961	226.59055	15337.7796
Haoe&HdemHert	10000	19540.79945	825387.86095
HantHconHeleHhewHleuHsapHsar&Haoe	23.3855	9.34215	897.188475
Haoe&Hsar	3428.22095	910.76545	660832.6443
Haoe&HburHwal	35.2929	9.32	83.2831
Djun&Hheb	21.9384	12.8244	101.9809
Evib&Haoe	7.9286	7.509	10.8307
Haoe&HleuHsar	12.1363	11.6535	806.1146
Haoe&HdorHhebHxan	7.0983	6.57315	9.1013
Hert&Hsar	10000	1234155479.3111	2468310947.8537
Hric&Hsar	4597.1461	2306.3673	7786.44315
Djun&Hhec	33.3809	19.72985	545.99305
Haoe&Hheb	9.6907	8.9018	10.2062
Haoe&HdorHxan	549.81385	9.83555	1912.705125
Hhec&Hric	5056.0923	2533.5732	802318.914
Haoe&Hbur	130.687	74.1819	21582.78255
Djun&Hric	27.0265	12.4889	486.5097
Haoe&Hwal	1435.7755	208.7511	1867.5082
Djun&HdemHert	8.9328	5.7717	1722.215225
