OG	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG_3960	8.1754066614	2.2326586871	64.5188623028885	8.16602364476256e-14	3.98011992445727e-10	19.9367787579076
OG_8324	7.3819719836	7.0343120982	54.8880649213626	3.74529097112274e-13	5.31543224161146e-10	19.1416411347153
OG_1404	-8.4312248104	2.697469948	-54.6247091988647	3.91883221549941e-13	5.31543224161146e-10	19.1159222572582
OG_2760	7.282410635	4.7673870255	52.2708721795329	5.93310056889366e-13	5.31543224161146e-10	18.8748505988491
OG_245	9.7308718018	3.9326710451	51.7950656909056	6.46651769503046e-13	5.31543224161146e-10	18.8235554105552
OG_30795	-10.0291952238	3.7424687777	-51.730069738435	6.54341268971456e-13	5.31543224161146e-10	18.8164784584782
OG_9443	-9.2093355228	0.3272140092	-49.0796579563496	1.07350164882565e-12	7.47463862339459e-10	18.5128449633335
OG_5310	-6.7994115052	0.439985026	-46.7725313673726	1.68871348748113e-12	9.58894317876177e-10	18.2226536280672
OG_4171	7.1786639604	2.8743781442	46.4986050102878	1.78465192511192e-12	9.58894317876177e-10	18.1864622174178
OG_30910	-11.519176661	3.5540173295	-46.0192730887818	1.96736626564665e-12	9.58894317876177e-10	18.1222010974788
OG_11586	5.9088097414	1.6960094981	43.8277894960873	3.11290390331213e-12	1.37929942043121e-09	17.8125563472601
OG_949	-7.678087442	1.2880619112	-41.0783630341827	5.72315716595866e-12	2.32455566890688e-09	17.3838072289499
OG_10086	-6.7299965906	1.6915584203	-40.4307119982631	6.64481967385682e-12	2.42878823893339e-09	17.2756482646639
OG_8806	6.3945498866	1.4744290741	40.2216843090418	6.97641266825348e-12	2.42878823893339e-09	17.2401202796546
OG_6295	-10.0472817386	0.4950348229	-39.1602645188297	8.96872195720299e-12	2.91423672129383e-09	17.054884863582
OG_5396	-8.4557649562	1.2981645567	-38.6879726553808	1.00512170175198e-11	3.06185198396198e-09	16.9697874409486
OG_2655	7.5119465444	1.5718432118	38.271259526553	1.11270881654411e-11	3.10580046140008e-09	16.8932881410391
OG_12456	-7.6301399254	7.2336989513	-37.9395157295728	1.20748166968254e-11	3.10580046140008e-09	16.8314172437374
OG_11213	7.7916151362	2.3307300563	37.9287133885862	1.21071417247849e-11	3.10580046140008e-09	16.8293879291908
OG_9461	7.7965639822	4.4128269037	37.69593729114	1.28274712176389e-11	3.12605473573859e-09	16.7854319775625
OG_12341	9.3238739738	1.3431221609	36.8314599176764	1.59482846794178e-11	3.7015209298801e-09	16.6183156875352
OG_119	5.0342510398	5.5317715885	36.3938785127317	1.78411902462736e-11	3.95263460274261e-09	16.5313313944053
OG_6100	-8.2686675846	1.7609923977	-35.2434870441031	2.41152317672008e-11	5.11033215797116e-09	16.2946207987626
OG_20631	-6.8513535846	2.8428421497	-34.8007505015376	2.71508184358145e-11	5.50808295842138e-09	16.2002997776566
OG_12264	-5.3097168672	1.1180424272	-34.6534730680518	2.82523746328548e-11	5.50808295842138e-09	16.1685135613846
OG_1841	6.2246638786	1.5369295273	34.1585532968944	3.23319348423815e-11	6.06099424699106e-09	16.0601658221828
OG_30208	-14.129014037	2.4288791551	-33.4129107732206	3.97631875208912e-11	6.99477760320958e-09	15.8923513568967
OG_12532	-6.2493111126	1.6240572721	-33.3754558945132	4.01833756442077e-11	6.99477760320958e-09	15.8837729295999
OG_14354	-6.0117063082	4.0656093225	-33.02440727025	4.43691592085375e-11	7.45707868904868e-09	15.802663444829
OG_9787	-5.7449720106	-0.0272601803	-32.162855717838	5.68377087844202e-11	9.23423308717547e-09	15.5980464002337
OG_15174	-13.8086336344	2.0029502914	-31.7421842633053	6.42964276814155e-11	9.90109084178044e-09	15.4951736768384
OG_1559	-4.978604491	1.1707601439	-31.7050492081347	6.50051101635154e-11	9.90109084178044e-09	15.4859965920203
OG_13038	-9.1684829788	3.0093065642	-31.4462847417857	7.01897415821690e-11	1.03668121354998e-08	15.4216104637044
OG_10321	-13.6518175754	2.0394952021	-31.3090027807429	7.31246335322919e-11	1.04764069270529e-08	15.3871377279647
OG_13141	6.5393263736	2.215265625	31.214191557586	7.5230661150359e-11	1.04764069270529e-08	15.3632013878911
OG_12920	-4.1006153942	1.8010901217	-30.8912065198202	8.29240209238338e-11	1.12269910550768e-08	15.28086318866
OG_4665	-5.9144029104	-1.6213775066	-30.7211646368811	8.73206969952583e-11	1.1502731814997e-08	15.2370137920245
OG_680	-12.943780192	1.3041244866	-30.4243064991479	9.56271390706069e-11	1.22654388376352e-08	15.1596200753438
OG_8320	3.8260598974	2.8429863871	30.1207967728626	1.05032110709316e-10	1.29232791095435e-08	15.0793676894349
