OG	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG_3285	10.8896278234	-1.0565548121	60.532760265232	7.92299807923255e-14	1.94760762136715e-10	19.1721035463688
OG_4746	11.1927373636	-0.579573693	59.6072458771102	9.19602753362325e-14	1.94760762136715e-10	19.1104977016744
OG_11	13.1830378198	2.0094259645	56.3959732638142	1.57089702790777e-13	1.94760762136715e-10	18.8792461584995
OG_4535	13.4425333394	1.2503405107	56.2799962308065	1.60247320206597e-13	1.94760762136715e-10	18.8703506973985
OG_9645	10.3291586926	-0.1640025529	54.5246074556281	2.17679147955559e-13	1.94760762136715e-10	18.7306912744431
OG_10435	12.8780548208	2.983471158	53.9824092229208	2.39754733857261e-13	1.94760762136715e-10	18.6855731733174
OG_1101	14.1894292322	1.3598533191	52.8260175896303	2.95566441385064e-13	2.05798690758686e-10	18.5860410320212
OG_5970	13.5438886396	1.5238425004	50.7380595842354	4.36399463380703e-13	2.3269245643957e-10	18.3941828105461
OG_9516	-12.9387605	1.8740764774	-49.953250589565	5.07326925308874e-13	2.3269245643957e-10	18.3177429226947
OG_2146	11.750679146	-0.4516831322	49.8591519270201	5.16652139080134e-13	2.3269245643957e-10	18.3084109699027
OG_12262	11.0939670632	-0.7860301128	49.4846252583345	5.55686793632868e-13	2.3269245643957e-10	18.2709067511451
OG_4654	9.4295849836	-0.0449362096000001	49.3285982725916	5.72898948968986e-13	2.3269245643957e-10	18.2551101571235
OG_9544	12.609811511	2.1485873373	47.5311184521121	8.19919379892368e-13	3.07406696738108e-10	18.0655123830395
OG_2098	9.0045158512	-1.9000702516	46.4185676977524	1.0306048829915e-12	3.42970174409286e-10	17.9407512073003
OG_11889	10.869383239	0.7990012931	46.3039086156274	1.05550935907659e-12	3.42970174409286e-10	17.9275538727931
OG_11839	9.8585921124	0.41370465	45.7333914045502	1.1897120246776e-12	3.60245981421772e-10	17.8609133437352
OG_5275	10.3325187966	-0.0409609087000001	45.475360480025	1.25650014037138e-12	3.60245981421772e-10	17.830231938132
OG_10102	10.5788441066	0.6933519427	45.0033697863435	1.38963208722248e-12	3.63417318751547e-10	17.7732161217609
OG_12161	-12.131231704	0.6040173914	-44.9135587915969	1.4166863061714e-12	3.63417318751547e-10	17.762234325446
OG_15265	-12.7400872446	0.7748651073	-44.0116726422151	1.7230452861868e-12	4.19906136243724e-10	17.649538262324
OG_10175	10.8973839348	-0.5228754222	42.6751832423616	2.32016914954512e-12	5.385002111849e-10	17.4741021113816
OG_10094	-10.8762821152	-0.1950632248	-42.0997071702662	2.64484768891637e-12	5.6284087985088e-10	17.3952955290445
OG_144	-11.2717386856	0.0148840140000001	-42.0813482054768	2.65599922785602e-12	5.6284087985088e-10	17.3927478960094
OG_2047	10.0425625038	0.6222401479	41.3648233936954	3.13449430362553e-12	6.34517472739465e-10	17.2916579486383
OG_8443	11.406935314	0.441641709	41.2038585279181	3.25460336858569e-12	6.34517472739465e-10	17.2684958002346
OG_11151	9.0057752844	-0.3060973526	40.8649741625413	3.52441245201817e-12	6.55781870483513e-10	17.2191764626016
OG_18480	9.8156897034	-0.6739173607	40.7368521709953	3.63276785044211e-12	6.55781870483513e-10	17.2003318067074
OG_604	10.4252381282	0.1137404713	40.5719345702267	3.77768524914304e-12	6.57587068011543e-10	17.1759128688927
OG_9010	9.3369113512	0.0527437116	40.3574778979792	3.97575276794416e-12	6.63545865086857e-10	17.1438830215523
OG_1971	10.206448169	-0.5624475091	40.0507547586482	4.27922365833653e-12	6.63545865086857e-10	17.0975238825481
OG_3767	10.1559427362	0.6961150033	39.7777930093552	4.57086559136145e-12	6.63545865086857e-10	17.0557158813853
OG_1957	6.7550400952	4.4350497742	39.7353061917263	4.61820015480681e-12	6.63545865086857e-10	17.0491611324292
OG_532	9.1440886758	0.1292676611	39.7337431809044	4.61995178198888e-12	6.63545865086857e-10	17.0489197510513
OG_10479	12.9823061952	0.1798566444	39.7258964023545	4.62875654758989e-12	6.63545865086857e-10	17.0477076825015
OG_8074	10.3242555756	0.5870541452	39.1316042244867	5.35260310653022e-12	7.45388215463665e-10	16.9546228613042
OG_13029	7.273626674	4.9870281512	38.7607094657901	5.86715795309408e-12	7.72517903322504e-10	16.8952179716898
OG_10318	-8.681206854	-1.374318588	-38.7103714795939	5.94110188799685e-12	7.72517903322504e-10	16.8870763228937
OG_8534	9.2695521588	0.0387059687999999	38.6554762278422	6.02291348507492e-12	7.72517903322504e-10	16.8781758086208
OG_10988	10.9298573074	0.9416732725	38.2535438147642	6.66117793666049e-12	8.08315421451432e-10	16.8123089949333
OG_11083	9.2720329074	-0.5449425973	38.2449106163437	6.67568145283001e-12	8.08315421451432e-10	16.810880610877
OG_2677	12.830371302	1.3735173474	38.1287769414514	6.87420480415955e-12	8.08315421451432e-10	16.7916097734107
OG_10071	10.719014705	-0.3278378271	38.0617156403184	6.99180063549591e-12	8.08315421451432e-10	16.7804339856942
OG_5667	12.199655115	1.8308564155	37.9838023627728	7.13121935215666e-12	8.08315421451432e-10	16.7674054859725
OG_20275	8.0327051758	-0.6193377385	37.6272304593692	7.809610562801e-12	8.65091860979365e-10	16.7071676613308
OG_11092	13.1919109078	2.3128178651	37.3957968278756	8.28786637132256e-12	8.91562110787885e-10	16.6675250096622
OG_2760	-11.614556082	1.3407518492	-37.3011353452315	8.49271328740773e-12	8.91562110787885e-10	16.6511849492601
OG_21819	-11.0767111972	-1.414855451	-37.2011219863662	8.71522475939688e-12	8.91562110787885e-10	16.6338413482105
OG_30482	9.7350792278	0.4429415045	37.1259306192322	8.88674472339425e-12	8.91562110787885e-10	16.620747968716
OG_12985	9.189458041	-0.2653138893	37.0929361387895	8.96318084296397e-12	8.91562110787885e-10	16.6149877504963
OG_5776	8.4345047734	-1.1765558445	36.7439186725024	9.81765961337707e-12	9.35477830599081e-10	16.5534996953495
OG_3312	9.2512095954	0.2265636937	36.7367286167348	9.83618163721471e-12	9.35477830599081e-10	16.5522222232591
OG_8679	8.490212531	-0.1640513927	36.4874237753348	1.05028575714324e-11	9.35477830599081e-10	16.5076556581928
OG_4995	9.6730970496	0.2877361382	36.4815485711912	1.05191580742069e-11	9.35477830599081e-10	16.5065989750846
