Gene	FBgene	GeneSymbol	BackgroundTest	OmegaTest	K	Pvalue
OG_12973	-	TSR1	0.0558643464623	0.139630882246	0.523365348133	4.24396073839e-11
OG_9593	FBgn0010238	Lac	0.042979386853	0.0465473410372	1.13821758556	0.448697007245
OG_19218	-	CC115	0.167196158315	0.199394322945	0.238547646131	0.202297399714
OG_9545	FBgn0030969	Usp39	0.0225085151398	0.052268000387	0.722105876754	0.00442603844313
OG_11818	-	OG_11818	0.161299570846	0.23492860447	0.673458922234	0.0442610534882
OG_11036	-	T184B	0.0980010451228	0.145152982178	0.744802854467	0.0148395263456
OG_25605	-	HETE1	0.0160869310111	0.035315856724	0.834101973435	0.332187182761
OG_1025	FBgn0262508	CG43078	0.125823826487	0.174764344224	0.789928346818	0.000658098829527
OG_8768	-	CHI10	0.135141627288	0.146988864435	0.903259150984	0.481748532162
OG_8908	-	KCC1A	0.05858902841	0.0775915179656	0.891950743561	0.475984137587
OG_3880	FBgn0014184	Oda	0.105597554903	0.0811027140979	2.09004981301	0.07427341378
OG_10203	-	MITD1	0.0687024756252	0.217614676195	0.493543771325	0.000138202028762
OG_24582	-	DJC25	0.0688968443839	0.154830056807	0.600141689457	3.15622624036e-05
OG_9003	-	RT30	0.0976832821857	0.14452733285	0.767265309541	0.0235895021049
OG_12046	-	SNR25	0.118477173423	0.169314285645	0.672442969217	0.152672495801
OG_10297	-	YVAQ	0.0829464709521	0.149471587001	0.793453705321	0.0198633705641
OG_10808	FBgn0000253	Cam	0.0973214623038	0.183673451717	0.704751219484	0.145008967435
OG_11836	-	PR38A	0.0408799093058	0.0575721612323	0.848857209891	0.226130515831
OG_18432	FBgn0027945	ppl	0.0836097602369	0.126261868974	0.247575200618	0.0392750672389
OG_2023	FBgn0016696	Pitslre	0.0655328835679	0.090861237846	0.838519395318	0.0252088302492
OG_2419	-	OG_2419	0.126709874968	0.249760882148	0.583802432463	0.0175422573911
OG_11601	FBgn0033958	jef	0.114535355439	0.13803590038	0.613577444805	0.0305464166491
OG_937	FBgn0000546	EcR	0.0574250511388	0.0557369519568	1.22151306064	0.482734337548
OG_11693	-	CTRB	0.168422531379	0.214399289141	0.82520762632	0.223747416882
OG_5384	FBgn0031412	CG16995	0.0435066779016	0.0747889670904	0.522391292499	0.026901766504
OG_1838	FBgn0003410	sina	0.0578177490474	0.129335158033	0.655229241858	0.00314427234522
OG_10376	-	RM15	0.0460566476528	0.0994563951077	9.53132648511	0.00709077688866
OG_651	FBgn0027338	Kap-alpha3	0.029235703302	0.0377445944849	1.02599774036	0.859140224802
OG_10825	-	OG_10825	0.111188346529	0.138634561126	0.9748920043	0.85892511078
OG_8171	FBgn0037020	Pex14	0.0482905843283	0.0962970903659	0.465037761317	0.00548471010439
OG_8966	-	HAKAI	0.34405629756	0.471433697079	1.23836629725	0.237856094149
OG_2412	FBgn0034350	Lamtor2	0.00427489170996	0.015802819733	0.124952712682	0.00758807994902
OG_21810	FBgn0036396	CG17359	0.063377315375	0.112469684107	0.736971542147	0.000166878864636
OG_14451	-	LYSC	0.0162950367764	0.0438029760786	0.522977398763	0.0341846124532
OG_9301	FBgn0033810	CG4646	0.048161674662	0.063977047566	0.289410594978	0.192384678658
OG_9578	FBgn0039405	PIG-P	0.129581887712	0.237000354437	0.138116271037	0.0424565551351
OG_8621	FBgn0036702	Afg3l2	0.0345883487981	0.0574056430604	0.712429706329	0.0542440167146
OG_12256	-	OG_12256	0.14234517677	0.141472429488	0.333485867836	0.0181164928898
OG_9970	-	SPOP	0.0933020193086	0.169773118584	0.273654194623	1.25705732912e-06
OG_451	FBgn0052672	Atg8a	0.0431926970352	0.0959245144224	0.212304514677	0.00235956980597
OG_30860	FBgn0037513	pyd3	0.0902614918421	0.151831889479	0.668859839742	0.00779702551933
OG_2092	FBgn0037684	Srr	0.082721100458	0.0824340140992	1.06352903535	0.792214078398
OG_9944	-	SFT2	0.0394579689748	0.0811687988408	0.764090734226	0.00762623841861
OG_515	FBgn0265356	tn	0.111849038681	0.117400505426	0.927686577065	0.746296603396
OG_2364	FBgn0027945	ppl	0.114185186283	0.203828862042	1.6492753753	0.0190467960297
OG_342	FBgn0052280	CG32280	0.0249474509055	0.0700794484274	0.531708880038	0.00682899192068
OG_12248	-	STX2	0.0783946911656	0.127003118394	0.732013171045	0.0566790500331
OG_18453	-	CU20	0.044397441765	0.0464060654896	0.94814395393	0.88611315823
OG_1995	FBgn0027841	CstF64	0.0512588643552	0.114088655833	0.671542818347	0.0011125556087
OG_30874	-	KXDL1	0.056004344017	0.0692542124345	0.0768336203497	0.00936627031583
OG_14345	-	OG_14345	0.217217091673	0.280958191703	0.762005383516	0.279026478297
OG_13082	-	CX7A1	0.122299144863	0.184470822126	0.816785743872	0.190047366958
OG_1066	FBgn0035639	kri	0.00892860432696	0.0194881521685	0.798674551245	0.0743577405847
OG_12068	FBgn0038621	CG10864	0.0229712589061	0.045551168707	0.620403657252	0.0158741344553
OG_8933	-	TMM94	0.0761920153197	0.101643524482	0.996478347915	0.962087671757
OG_10308	-	TMM70	0.10734494269	0.21696841479	0.264189720365	0.00538546571313
OG_20626	-	SAHH	0.0217324397587	0.0524193405247	0.127428380563	0.000123631819529
OG_8460	FBgn0261625	GLS	0.0226865108977	0.0351343343205	0.741856194493	0.39489923932
OG_29855	-	SPAST	0.0453850322112	0.126806398297	0.833911427156	0.020891566914
OG_13107	-	SNAPN	0.0744622920207	0.268451461754	0.437119694093	2.23569728725e-05
OG_2286	FBgn0031452	Cwc25	0.153042719469	0.274671866875	0.578253552838	0.0200828222467
OG_10398	-	TBRG1	0.0784357884409	0.0996739938485	0.714507764503	0.464411844356
OG_10259	-	EVG1	0.21177802459	0.315790332116	0.649493042807	2.08681479599e-05
OG_2747	FBgn0264574	Glut1	0.0613753196418	0.0712314365826	0.859505126318	0.0950794553951
OG_641	FBgn0036514	CG12301	0.131093336791	0.292704205466	0.460470811956	3.12007086833e-11
OG_11782	-	SFK1	0.0872374651721	0.123048927389	0.85560629072	0.173249442409
