OG	FBgn	GeneSymbol	branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg	branch_num_mg	is_fg	is_mf	is_mg	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
OG_10002	FBgn0041627	Ku80	Djun|7	HantHconHeleHhewHsapHleuHsar|80	0.3914	8	2	0	Y	N	N	2.2232	0.3203	521.268	0.0041	0.0013	0.95	72.3559	8.2048	995.7925	2.0191	0.5277	10.0976	0.0094	0.0033	0.0912	2.3386	0.6212	10.7402	0.9082	1.6474	0.0194	2.2838	2.5753	0.096	0.0323	0.0757	0.0108	3.5328	0.0098	1.1812	-0.5459	35.3459	9.5624	48.7054	11.3265	2.6451	0.5835	2.0616	0.0017	0.0006	0.0011	2.6434	0.583	2.0605	0.9618	0.9525	0.0093	0.9409	0.9362	0.0047	0.0209	0.0162	0.0047	1.3101	1.1059	0.2042	0.1797	0.1674	0.0123	1.1303	0.9385	0.1918	1.059	0.5782	0.4809	0.412	0.3635	0.0484	0.647	0.2146	0.4324
OG_10002	FBgn0041627	Ku80	Evib|17	Haoe|21	0.2661	6	2	0	Y	N	N	0.3612	0.0164	1.8442	0.1196	0.1102	0.0978	0.3312	0.0036	1.7325	0.7998	0.0311	4.7387	0.1672	0.175	0.0035	0.8855	0.0084	4.9024	2.2145	1.8961	2.5696	1.3979	1.5877	0.0355	2.6734	2.3567	2.8296	29.7503	1.215	0.6669	-0.1032	12.6364	26.2837	29.6386	34.7856	1.0508	0.0342	1.0167	0.0262	0.0262	0.0	1.0246	0.008	1.0166	3.5875	1.6197	1.9679	0.8148	0.8122	0.0025	2.7728	0.8074	1.9653	1.3139	1.0993	0.2145	0.1568	0.1496	0.0072	1.1571	0.9497	0.2074	1.62	0.8542	0.7658	0.5829	0.5116	0.0713	1.0372	0.3426	0.6946
OG_10002	FBgn0041627	Ku80	Haoe|21	HantHconHeleHhewHsapHleuHsar|80	0.1371	7	2	0	Y	N	N	0.9279	0.0762	476.6913	1.6532	1.6675	0.0003	0.8522	0.0429	478.155	1.3267	0.2669	6.6193	1.1616	1.2317	0.0	1.3339	0.2194	6.7143	1.4299	3.504	0.0139	0.7026	0.7387	0.002	1.5652	5.1124	0.014	4.9666	0.0058	0.6095	-0.5399	26.2837	9.5624	34.7856	11.3265	1.22	0.2045	1.0155	0.0443	0.0443	0.0	1.1758	0.1602	1.0155	0.9447	0.9393	0.0055	0.0728	0.0728	0.0	0.8719	0.8665	0.0054	0.9196	0.7661	0.1534	0.0381	0.0359	0.0022	0.8815	0.7302	0.1513	0.6607	0.2681	0.3927	0.1036	0.0986	0.0051	0.5571	0.1695	0.3876
OG_10010	-	CDT1	Haoe|23	Hbur|26	0.2259	4	2	0	Y	N	N	0.6422	33.2564	1.0975	0.0016	0.0567	0.0	0.8052	3294.8336	1.3834	0.4405	0.259	1.3997	0.0025	0.0027	0.0	0.4801	0.2854	1.4383	0.686	0.0078	1.2754	1.5977	0.0468	10.7222	0.5962	0.0001	1.0397	1.0228	188.4306	0.3109	0.4912	52.2022	23.7077	36.7655	4.0262	2.0015	0.9895	1.012	0.0009	0.0009	0.0	2.0005	0.9885	1.012	0.9921	0.0052	0.9869	0.2072	0.0052	0.202	0.7849	0.0	0.7849	4.5437	3.8207	0.723	0.3764	0.357	0.0194	4.1674	3.4637	0.7036	1.4463	0.6725	0.7738	0.1297	0.1108	0.0188	1.3166	0.5617	0.7549
OG_10010	-	CDT1	Haoe|23	Hwal|98	0.2259	4	2	0	Y	N	N	0.4345	0.0001	399655.2474	0.0428	0.0375	13.8191	0.4422	0.0	562715.1541	0.4468	0.0003	2.8325	0.0024	0.0024	0.0011	0.5002	0.0	2.9109	1.0284	2.1998	0.0	0.0557	0.0649	0.0001	1.131	2.6539	0.0	1781.6443	0.0	0.657	-0.5011	52.2022	10.8946	36.7655	7.2409	1.0121	0.0006	1.0115	0.0006	0.0006	0.0	1.0115	0.0	1.0115	1.0031	1.0031	0.0	0.0052	0.0052	0.0	0.9979	0.9979	0.0	2.265	1.9079	0.3571	0.2427	0.2331	0.0096	2.0223	1.6748	0.3475	0.9754	0.456	0.5194	0.0931	0.08	0.0131	0.8823	0.376	0.5063
OG_10020	-	B3GT6	Hant|22	Hric|77	0.0264	4	2	0	Y	N	N	6635.7544	2.3762	29723.0109	12.7997	12.9591	0.0	7526.8137	inf	29809.5201	10.9663	0.0015	75.3372	0.0407	0.0417	0.0	11.3001	0.0001	75.7017	0.0017	0.0006	0.0025	0.0032	0.0032	0.0	0.0015	0.0	0.0025	8689.4143	4.7675	1.0651	0.0001	3.8985	6.0907	2.5549	4.0186	1.9987	0.0002	1.9985	0.0002	0.0002	0.0	1.9985	0.0	1.9985	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0001	0.1823	0.1557	0.0265	0.0054	0.0053	0.0001	0.1769	0.1505	0.0264	0.0892	0.0411	0.0481	0.008	0.0079	0.0001	0.0812	0.0332	0.048
OG_10020	-	B3GT6	Hhew|50	Hsap|79	0.0411	2	2	0	Y	N	N	0.8861	0.0	3.3896	0.0	0.0	0.0	0.8785	0.0	3.4145	22.2012	0.0	147.9688	0.0	0.0	0.0	22.5583	0.0	149.0623	25.0553	0.0	43.6534	0.0	0.0	0.0	25.6769	0.0	43.6553	inf	inf	1.0658	0.6195	4.0	3.0025	2.0	2.029	1.9996	0.0	1.9996	0.0	0.0	0.0	1.9996	0.0	1.9996	0.9992	0.0	0.9992	0.0	0.0	0.0	0.9992	0.0	0.9992	0.0901	0.0766	0.0135	0.0014	0.0013	0.0001	0.0886	0.0752	0.0134	0.0399	0.017	0.0229	0.001	0.001	0.0	0.0389	0.016	0.0229
OG_10034	-	UVR8	Haoe|22	HconHeleHsapHhewHleuHsar|81	0.1591	7	2	0	Y	N	N	1.1392	0.0	13.5747	0.0006	0.0	144.5088	1.6256	0.0	13.4737	5.2018	0.0	38.016	0.0112	0.0001	0.2275	5.4002	0.0	38.5203	4.5664	6.6901	2.8005	18.3266	21.1775	0.0016	3.322	3.9698	2.8589	1548158.2505	0.5034	0.6237	-0.819	10.0904	3.0016	32.586	11.0439	1.0148	0.0	1.0148	0.0001	0.0	0.0001	1.0147	0.0	1.0147	3.0002	1.9956	1.0046	0.9986	0.9986	0.0	2.0016	0.9969	1.0046	0.1951	0.1684	0.0267	0.0072	0.0068	0.0004	0.1879	0.1616	0.0263	0.657	0.2983	0.3587	0.0545	0.0472	0.0073	0.6025	0.2511	0.3514
OG_10041	-	IN80B	Djun|7	Haoe|23	0.1913	4	2	0	Y	N	N	3.0234	0.988	8.4186	5.4341	5.3185	1.239	2.444	6.3144	8.1616	2.3699	0.2446	11.1042	2.0855	2.1506	0.1675	2.3995	0.001	11.2799	0.7839	0.2475	1.319	0.3838	0.4044	0.1352	0.9818	0.0002	1.3821	11.0487	5.3404	0.3202	0.4403	4.9883	9.9787	19.5127	28.2483	1.0986	0.0912	1.0075	0.0911	0.0909	0.0002	1.0075	0.0003	1.0072	1.5112	0.2384	1.2729	0.2449	0.2383	0.0066	1.2664	0.0001	1.2663	0.4636	0.3729	0.0907	0.0437	0.0423	0.0014	0.4199	0.3306	0.0893	1.928	0.9629	0.965	0.6381	0.5893	0.0488	1.2898	0.3736	0.9162
OG_10044	-	TFDS	Haoe|22	Hdor|31	0.0778	3	2	0	Y	N	N	3.2345	0.0001	12.3372	0.0003	0.0003	0.0	3.0012	0.0	12.1903	11.9091	0.0	83.9171	0.0	0.0	0.0	12.7664	0.0	84.4886	3.6819	0.0143	6.802	0.0485	0.0523	0.0004	4.2538	0.0	6.9308	10982978.5443	557.7826	0.3642	0.3539	2.0073	4.5525	15.9541	4.0543	1.0016	0.0	1.0016	0.0	0.0	0.0	1.0016	0.0	1.0016	1.0024	0.0018	1.0007	0.0018	0.0018	0.0	1.0007	0.0	1.0007	0.0841	0.0722	0.0119	0.0056	0.0056	0.0001	0.0785	0.0666	0.0119	0.2723	0.1252	0.1471	0.037	0.0343	0.0027	0.2352	0.0909	0.1444
